id,trips,avg_dist,avg_fare,revenue
106,5615,4.72,23.87,156808.0
194,5604,6.08,44.08,342715.0
38,5534,12.09,46.04,276322.0
217,5455,4.63,24.77,158279.0
149,5406,7.35,32.08,185038.0
81,5398,10.74,40.01,232904.0
212,5396,7.02,28.55,170476.0
133,5177,6.22,29.29,169544.0
173,5174,5.06,25.54,152747.0
259,5145,11.49,41.65,231453.0
124,5141,8.54,43.79,264454.0
32,5098,9.21,36.46,201311.0
250,5085,8.03,32.06,180423.0
1,5067,3.14,57.34,389143.0
248,4891,8.04,31.9,170715.0
160,4698,6.63,38.66,217809.0
185,4664,7.94,32.83,165919.0
208,4647,8.59,33.97,177682.0
20,4586,7.95,32.72,164971.0
60,4544,8.13,32.83,162143.0
227,4383,7.19,32.56,153975.0
126,4359,7.39,31.18,150408.0
34,4177,4.47,28.98,152304.0
200,3962,10.03,37.58,166372.0
147,3939,7.04,30.13,130608.0
94,3870,7.53,31.16,130696.0
122,3848,8.36,32.83,136758.0
102,3752,5.83,30.34,127145.0
3,3720,9.62,37.55,151032.0
150,3682,8.55,36.53,146118.0
207,3432,5.8,43.88,194233.0
19,3322,9.87,38.93,144646.0
180,3314,7.34,39.77,153985.0
257,3204,6.47,29.66,108435.0
190,3162,4.24,22.53,87681.0
67,3102,7.49,32.8,113511.0
53,2986,8.25,35.94,129462.0
11,2980,9.67,38.9,125267.0
171,2942,8.33,34.81,113374.0
201,2778,12.88,48.12,145690.0
192,2712,6.64,30.52,93706.0
98,2563,8.23,33.74,95938.0
16,2424,9.12,37.3,99389.0
54,2422,5.12,28.4,86315.0
101,2233,10.97,40.83,101680.0
178,2233,6.84,31.42,76332.0
183,2067,10.01,37.49,84087.0
252,2013,8.6,36.2,85399.0
9,1937,7.11,31.34,67409.0
175,1817,9.08,35.81,71321.0
153,1806,6.91,28.47,56250.0
253,1754,8.66,48.28,103700.0
154,1566,7.05,30.51,60644.0
64,1458,8.98,36.75,62367.0
6,1440,4.67,8.27,32900.0
15,1436,10.07,38.84,62679.0
23,1392,15.66,50.36,88730.0
73,1391,7.85,34.09,52803.0
31,936,8.2,36.81,41723.0
57,924,7.36,41.06,45277.0
120,844,6.02,31.82,34074.0
128,835,6.15,26.76,26333.0
240,832,8.85,35.04,32672.0
8,771,6.35,47.33,49347.0
46,679,12.08,44.35,32901.0
5,660,15.83,58.82,54791.0
96,637,5.2,29.76,23047.0
44,569,17.6,55.11,38320.0
184,342,9.1,39.03,15957.0
58,274,9.26,35.68,11056.0
214,257,15.03,46.14,14895.0
118,206,10.09,37.36,10252.0
206,181,8.33,34.34,7974.0
27,178,9.94,40.98,8301.0
2,159,14.12,51.74,10620.0
111,135,6.01,30.49,5207.0
59,129,8.07,33.15,4961.0
221,127,6.85,32.59,5835.0
156,105,12.1,48.12,6571.0
30,85,8.52,33.92,3470.0
251,84,10.56,47.79,5275.0
172,76,12.33,46.04,4798.0
115,64,8.75,41.74,3490.0
199,63,8.93,35.83,3211.0
109,61,9.92,47.34,3944.0
245,46,7.73,35.27,2144.0
176,33,12.44,43.99,1975.0
187,33,8.26,32.88,1457.0
105,32,6.31,24.54,1072.0
99,31,9.88,42.33,1800.0
204,27,12.05,53.5,1890.0
84,23,10.76,51.24,1518.0
110,1,1.8,10.0,12.0
