date,trips,avg_dist,avg_fare,avg_dur,revenue
2022-04-24,97829,4.03,15.04,14.9,2144736.0
2022-04-25,101500,3.67,14.28,14.9,2157148.0
2022-04-26,114309,3.39,13.94,15.5,2375779.0
2022-04-27,120788,3.33,14.05,16.2,2527595.0
2022-04-28,121758,3.43,14.38,16.9,2601343.0
2022-04-29,120858,3.42,14.17,16.4,2546896.0
2022-04-30,119451,3.38,13.87,15.2,2422154.0
2022-05-01,92664,4.13,15.44,15.5,2074468.0
2022-05-02,88796,3.75,14.48,14.9,1908442.0
2022-05-03,113844,3.4,14.06,15.6,2383419.0
2022-05-04,118840,3.32,13.82,15.4,2457198.0
2022-05-05,124572,3.37,14.24,16.6,2633868.0
2022-05-06,118321,3.36,14.18,16.8,2490129.0
2022-05-07,109958,3.21,13.22,14.2,2145207.0
2022-05-08,96727,3.89,14.65,14.6,2068254.0
2022-05-09,102148,3.66,14.51,15.8,2200945.0
2022-05-10,115032,3.34,14.1,16.1,2413037.0
2022-05-11,120719,3.31,14.06,16.2,2525468.0
2022-05-12,125851,3.44,14.34,16.6,2685163.0
2022-05-13,121739,3.52,14.6,16.9,2631594.0
2022-05-14,117405,3.42,14.25,16.0,2436447.0
2022-05-15,99195,4.1,15.54,15.9,2233215.0
2022-05-16,107848,3.68,14.67,16.0,2343229.0
2022-05-17,116700,3.57,15.43,18.5,2632135.0
2022-05-18,118691,3.54,15.2,18.5,2646261.0
2022-05-19,121733,3.54,15.27,18.7,2728941.0
2022-05-20,116817,3.6,15.03,17.9,2585332.0
2022-05-21,115533,3.65,14.83,16.6,2479904.0
2022-05-22,94342,4.16,15.9,16.6,2160653.0
2022-05-23,104631,3.8,15.06,16.6,2325068.0
2022-05-24,114977,3.43,14.56,17.0,2473187.0
2022-05-25,115890,3.46,14.78,17.7,2525505.0
2022-05-26,115403,3.53,14.71,17.4,2508724.0
2022-05-27,104310,3.6,14.56,16.3,2238756.0
2022-05-28,93287,3.65,14.32,14.5,1936980.0
2022-05-29,86017,4.01,15.02,14.7,1860113.0
2022-05-30,78367,4.41,15.69,14.2,1783744.0
2022-05-31,107812,3.54,14.41,16.4,2294771.0
2022-06-01,115397,3.24,14.2,17.3,2419711.0
2022-06-02,118467,3.39,14.5,17.1,2533918.0
2022-06-03,116590,3.46,14.37,16.7,2477238.0
2022-06-04,114847,3.4,13.85,15.1,2322141.0
2022-06-05,95540,4.1,15.57,15.8,2152844.0
2022-06-06,106226,3.67,14.37,15.3,2273384.0
2022-06-07,120209,3.32,14.05,16.4,2516066.0
2022-06-08,121974,3.33,14.35,17.0,2595914.0
2022-06-09,125194,3.41,14.55,17.4,2701585.0
2022-06-10,120615,3.51,14.58,17.2,2601866.0
2022-06-11,113730,3.49,14.25,15.7,2362562.0
2022-06-12,92764,4.1,15.56,15.8,2090555.0
2022-06-13,111753,3.67,14.48,15.7,2406902.0
2022-06-14,117929,3.43,14.46,16.8,2525572.0
2022-06-15,122885,3.46,14.59,17.1,2654302.0
2022-06-16,121402,3.4,14.44,17.1,2596095.0
2022-06-17,117063,3.66,14.8,16.8,2559789.0
2022-06-18,108545,3.59,14.24,15.3,2248612.0
2022-06-19,91597,4.05,15.05,15.1,2000256.0
2022-06-20,94879,3.92,14.85,15.5,2087751.0
2022-06-21,114303,3.4,14.45,16.9,2443135.0
2022-06-22,115909,3.31,14.27,16.8,2449327.0
2022-06-23,122609,3.53,14.72,17.1,2668867.0
2022-06-24,116762,3.56,14.64,16.9,2524364.0
